action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
close,short,1746499500000,94291.3,0.0008098200734055435,14.685639163110155,,,,1746557100000.0,94920.50714285714,-0.5861583343906704,止损
open,long,1746713700000,99456.4,0.0007382953315779656,14.685639163110155,98761.38571428572,231.67142857142608,二次金叉,,,,
close,long,1746713700000,99456.4,0.0007382953315779656,16.150818686159358,,,,1746724500000.0,101541.44285714283,1.465179523049203,固定止盈
open,long,1746785700000,103050.3,0.0007836376355119469,16.150818686159358,101525.37857142858,508.30714285714305,二次金叉,,,,
close,long,1746785700000,103050.3,0.0007836376355119469,14.875676263012663,,,,1747074600000.0,101525.37857142858,-1.2751424231466957,止损
open,long,1747126800000,102940.0,0.00072254110467324,14.875676263012663,102225.25,238.25000000000105,金叉,,,,
close,long,1747126800000,102940.0,0.00072254110467324,14.285119845259684,,,,1747290600000.0,102225.25,-0.590556417752979,止损
open,long,1747326600000,103553.8,0.0006897438744526848,14.285119845259684,102078.95714285715,491.6142857142851,金叉,,,,
close,long,1747326600000,103553.8,0.0006897438744526848,13.196939051452055,,,,1747636200000.0,102078.95714285715,-1.0881807938076296,止损
open,long,1747668600000,104819.9,0.0006295054207956721,13.196939051452055,103585.44285714286,411.48571428571347,金叉,,,,
close,long,1747668600000,104819.9,0.0006295054207956721,15.461081099505567,,,,1747838700000.0,108523.27142857142,2.2641420480535106,固定止盈
open,long,1747856700000,108547.3,0.0007121817447097056,15.461081099505567,105921.05714285714,875.4142857142859,二次金叉,,,,
close,long,1747856700000,108547.3,0.0007121817447097056,13.51434865508665,,,,1748544300000.0,105921.05714285714,-1.946732444418917,止损
open,short,1748587500000,105671.5,0.0006394509709376063,13.51434865508665,106181.52142857143,170.00714285714224,二次死叉,,,,
close,short,1748587500000,105671.5,0.0006394509709376063,14.425667205454717,,,,1748622600000.0,104141.43571428572,0.9113185503680673,固定止盈
open,short,1748745000000,104193.3,0.0006922550300957316,14.425667205454717,104729.6142857143,178.77142857142982,死叉,,,,
close,short,1748745000000,104193.3,0.0006922550300957316,13.982086974298523,,,,1748789100000.0,104729.6142857143,-0.4435802311561931,止损
