action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
close,long,1745505000000,93082.0,0.003853539364350651,72.01918253428573,,,1745555400000.0,93154.7,0.2801523117882811,信号平仓
open,long,1745705700000,94587.0,0.0038070338701029606,72.01918253428573,94318.74285714286,134.12857142856956,,,,
close,long,1745705700000,94587.0,0.0038070338701029606,70.99791850553156,,,1745717400000.0,94318.74285714286,-1.0212640287541772,止损
open,long,1745778600000,94327.5,0.003763373274258915,70.99791850553156,94021.8,152.8499999999996,,,,
close,long,1745778600000,94327.5,0.003763373274258915,69.84745529559062,,,1745791200000.0,94021.8,-1.1504632099409393,止损
open,long,1745817300000,94065.0,0.003712722866931942,69.84745529559062,93617.8,223.60000000000167,,,,
close,long,1745817300000,94065.0,0.003712722866931942,68.18712562949867,,,1745853300000.0,93617.8,-1.6603296660919535,止损
open,long,1745873100000,94419.8,0.0036108488701256875,68.18712562949867,93894.22857142858,262.78571428571223,,,,
close,long,1745873100000,94419.8,0.0036108488701256875,67.35157520095154,,,1745902800000.0,94188.4,-0.8355504285471156,信号平仓
open,long,1745986500000,94861.0,0.003550013978397421,67.35157520095154,94418.81428571428,221.09285714285735,,,,
close,long,1745986500000,94861.0,0.003550013978397421,66.38952141280585,,,1746001800000.0,94590.0,-0.9620537881457011,信号平仓
open,long,1746046800000,94535.8,0.0035113428676123676,66.38952141280585,93966.12857142858,284.83571428571304,,,,
close,long,1746046800000,94535.8,0.0035113428676123676,64.38920970520903,,,1746054000000.0,93966.12857142858,-2.000311707596825,止损
open,long,1746061200000,94485.5,0.003407359314667808,64.38920970520903,94099.6,192.94999999999814,,,,
close,long,1746061200000,94485.5,0.003407359314667808,71.08262634294245,,,1746171000000.0,96449.9,6.693416637733422,信号平仓
open,long,1746182700000,96844.9,0.0036699209944427874,71.08262634294245,96472.85714285713,186.02142857142982,,,,
close,long,1746182700000,96844.9,0.0036699209944427874,71.18428315448855,,,1746220500000.0,96872.6,0.10165681154610794,信号平仓
open,long,1746287100000,96358.7,0.0036937133416333223,71.18428315448855,96136.5,111.10000000000062,,,,
close,long,1746287100000,96358.7,0.0036937133416333223,70.36354004997764,,,1746289800000.0,96136.5,-0.8207431045109135,止损
open,long,1746304200000,96305.2,0.003653153726381216,70.36354004997764,96094.24285714286,105.47857142856914,,,,
close,long,1746304200000,96305.2,0.003653153726381216,69.59288117744237,,,1746313200000.0,96094.24285714286,-0.7706588725352816,止损
open,long,1746391500000,95676.9,0.003636869567128658,69.59288117744237,95458.2,109.35000000000166,,,,
