open_time,open,high,low,close,volume,close_time
1748548800000,674.69,685.6,673.23,674.7,211337.65,1748563199999
1748563200000,674.7,678.28,665.0,673.02,126657.61,1748577599999
1748577600000,673.02,674.62,667.07,667.11,84393.38,1748591999999
1748592000000,667.11,671.69,666.0,671.14,68264.84,1748606399999
1748606400000,671.15,672.35,666.52,668.55,78908.35,1748620799999
1748620800000,668.55,669.62,660.01,666.08,128791.18,1748635199999
1748635200000,666.08,666.64,652.74,655.0,110281.27,1748649599999
1748649600000,655.0,655.61,645.11,650.29,137565.63,1748663999999
1748664000000,650.3,655.07,647.14,653.5,65120.57,1748678399999
1748678400000,653.5,656.3,651.67,653.8,44040.16,1748692799999
1748692800000,653.81,659.46,653.65,656.28,78687.77,1748707199999
1748707200000,656.28,660.41,655.49,658.54,43297.78,1748721599999
1748721600000,658.54,661.46,657.66,657.92,40324.76,1748735999999
1748736000000,657.92,657.93,652.31,655.31,66584.44,1748750399999
1748750400000,655.3,656.79,651.77,653.14,53748.2,1748764799999
1748764800000,653.14,653.15,647.79,650.11,68058.57,1748779199999
1748779200000,650.1,654.22,647.12,654.19,51300.43,1748793599999
1748793600000,654.19,657.49,650.4,654.7,54816.07,1748807999999
1748808000000,654.7,662.44,654.63,660.66,66904.4,1748822399999
1748822400000,660.65,664.3,656.36,656.72,70491.8,1748836799999
1748836800000,656.72,659.25,654.78,657.99,56751.57,1748851199999
1748851200000,657.99,658.46,650.1,651.03,85168.43,1748865599999
1748865600000,651.03,657.93,649.61,656.93,93508.26,1748879999999
1748880000000,656.93,661.92,655.41,661.01,56994.1,1748894399999
1748894400000,661.01,667.24,660.24,665.93,71712.64,1748908799999
1748908800000,665.93,673.76,665.79,667.82,123868.6,1748923199999
1748923200000,667.82,668.66,665.1,665.28,38577.78,1748937599999
1748937600000,665.28,667.9,663.8,664.92,68209.94,1748951999999
1748952000000,664.93,668.31,661.63,666.85,107904.06,1748966399999
1748966400000,666.85,667.64,662.79,664.91,44294.79,1748980799999
